"ID","niscode","twtot","TOTAALBEV","DENSITEIT","diff","aandeel","originID.x","destID.x","oX","oY","stay","originID.y","move_to","destID.y","move_from","resident","inflow","outflow","resident255","inflow255","outflow255"
42,11056,13051,18643,1046.26414726694,-30,70,42,42,4.32540604142483,51.229417069853,2026,42,5803,42,10083,0.113108530594015,0.562918713711478,0.323972755694506,28.8426753014739,143.544271996427,82.6130527020991
43,72029,8319,14400,352.533628586776,-42.2,57.8,43,43,5.39397405301517,51.2046988388245,2236,43,2979,43,5716,0.204555850333913,0.522916476077212,0.272527673588876,52.1617418351477,133.343701399689,69.4945567651633
44,43007,1580,6318,187.449632924487,-75,25,44,44,3.62696235538205,51.207809416308,834,44,1710,44,584,0.266624040920716,0.186700767263427,0.546675191815857,67.9891304347826,47.6086956521739,139.402173913043
45,13044,1444,7640,276.590091637845,-81.1,18.9,45,45,4.7763151033876,51.2198134095477,666,45,2434,45,524,0.183774834437086,0.144591611479029,0.671633554083885,46.862582781457,36.8708609271523,171.266556291391
46,46024,3070,17487,390.349720938009,-82.4,17.6,46,46,4.02784048644693,51.2143836038292,1934,46,5098,46,890,0.244130270133805,0.112345367331482,0.643524362534713,62.2532188841202,28.6480686695279,164.098712446352
47,11054,3919,12580,313.708591650414,-68.8,31.2,47,47,4.68517652452706,51.2111174663754,1539,47,3710,47,1967,0.213276053215078,0.272588691796009,0.514135254988914,54.3853935698448,69.5101164079823,131.104490022173
48,11050,6680,9041,1150.30069911208,-26.1,73.9,48,48,4.52102110195535,51.2314163543205,953,48,2656,48,4978,0.110981716548271,0.579713520437871,0.309304763013858,28.300337719809,147.826947711657,78.8727145685338
49,35013,29361,70284,1863.11679526734,-58.2,41.8,49,49,2.93447873654092,51.2104831556194,13945,49,10430,49,14481,0.358889232036236,0.372683755404571,0.268427012559193,91.5167541692403,95.0343576281655,68.4488882025942
50,13008,20206,37848,344.539073437318,-46.6,53.4,50,50,4.99036067806682,51.1672756213996,6554,50,9537,50,12619,0.228282828282828,0.439533263671195,0.332183908045977,58.2121212121212,112.080982236155,84.7068965517241
51,11035,5097,18463,423.621227968794,-72.4,27.6,51,51,4.58974015329421,51.1933176640564,2047,51,5817,51,2601,0.195604395604396,0.24854276158624,0.555852842809365,49.8791208791209,63.3784042044912,141.742474916388
52,72003,3006,12729,214.501035019312,-76.4,23.6,52,52,5.5684940721571,51.1883637343447,1641,52,3118,52,1219,0.274506523921044,0.203914352626296,0.52157912345266,69.9991635998662,51.9981599197056,133.002676480428
53,37015,10425,19922,290.813619343949,-47.7,52.3,53,53,3.37325186546365,51.0053800238788,4355,53,3989,53,5430,0.316175402933062,0.39422099607957,0.289603600987367,80.6247277479309,100.52635400029,73.8489182517787
